Category,Metric,Value
POPULATION STRUCTURE,Total Individuals,149
,Total Species,10
,Dominant Species,Ki Haji
,IVI Leader,Ki Haji (116.6%)
,Large Trees (>40cm),73 (49%)
SPECIES COMPOSITION,Most Abundant Family,Meliaceae
,Family Richness,8
,Rare Species (<5 ind.),3
,Dominant Pattern,Highly Dominant
,Structure Type,Mixed
DIVERSITY METRICS,Shannon Index (H'),1.71
,Simpson Index (1-D),0.738
,Evenness (J'),0.743
,Diversity Level,MEDIUM to HIGH
,Species Richness,10
ECOLOGICAL STATUS,Forest Maturity,Medium
,Conservation Priority,7 species need protection
,Sustainability,2 species suitable for sustainable use
,Research Value,High - unique bat-plant interactions
